Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x00083add6604251e8ebbd7c2b3f195617e8a888b1f77e62f65ce9c8f92e52a85","Success","Transfer","46850078","2025-02-21 09:55:54","0x7ccE7880FfE22C628f5986C3A09717938CB69915","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00303554 BNB","$1.85","0.000021"
"0xc3ccdfe358a7fa03d9f6204cb898e3f36806d02edef04c74a3d59232a604f842","Success","Transfer","46441017","2025-02-07 05:00:45","0xfF45A344D989cE9d6C83BDb8C29f4A0696973c8E","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.000025 BNB","$0.02","0.000021"
"0xa675be6d07a7c7375beee4e6c59db30424b6f05722a6f23291bf8d82b1bc8142","Success","Transfer","45241918","2024-12-27 13:40:54","0x3B3Ca96cBbee12E43C00b6e170D4792344Ea5aCE","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.01 BNB","$6.08","0.000063"
"0x29fb8ec03234cdea1402628dad9135e180c1a0b186e52baf0210988cc2de3fe3","Success","Transfer","44559584","2024-12-03 20:59:38","0x3Ac3102b3Ac12b54B6fac3054044e65D9C058d0B","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00001778 BNB","$0.01","0.00002142"
"0x37fd4f92b2f2d05ac21dfc616754c00877d45d2bb45ab6d9f0e5b8a40c78732e","Success","Transfer","42792037","2024-10-03 11:45:30","0xad697b3b51a9D381598777c49d9E0D92f51E2C64","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00347147 BNB","$2.11","0.000021"
"0xa696e446e63ac10a51e6220daa0e48c88fd5242a8eaf5dcffb56d9212d352112","Success","Transfer","42743265","2024-10-01 19:06:49","0xFD397d739588170C21c4Dd88C4cBe34A2d38f789","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00622621 BNB","$3.79","0.000063"
"0xf02c0d28d6993fb07c0cc520bff3ac7d808f1f0095893b7fff8391a28bb46670","Success","Transfer","42621582","2024-09-27 13:42:18","0xD81111BA6a7B9cC4A9B3E4ab324A3D5E1C31D41a","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00182532 BNB","$1.11","0.000063"
"0x5733859080dd378572cee172939bb773d0729b1e10fc6a6cb4fbd51beaaca39a","Success","Transfer","40755387","2024-07-24 14:38:51","0x924544F8984d64b6137b1830e18BEC4497c633B3","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.003 BNB","$1.82","0.000084"
"0xbf22db734eece24394ae0f0610b68d8e4a88eb9c7e62c3c96430c8b6f6e0c54a","Success","Transfer","40303155","2024-07-08 20:37:30","0xf7CAaa3EBa38A68400397a66C48530D4b8648fd7","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.0000509 BNB","$0.03","0.000021"
"0x785c2c58ab1307be4da10ed73e16a629eb2947a790af9d18c2239f3973ebe65a","Success","Transfer","40167026","2024-07-04 02:44:14","0xF89dBC97d75Dbd2BB5Bd017526B9c20C95309ED4","","0x71C7656EC7ab88b098defB751B7401B5f6d8976F","BscScan: Donate","0.00114813 BNB","$0.70","0.000021"
